Confirmed Foreign National,Confirmed Indian National,Date,State/UnionTerritory,State/UnionTerritory (group),Time,% of death,%cured,%of confimed cases,%of cured,Confirmed,Cured,death%,Deaths,Sno
1,11,19-03-2020,Delhi,Other,6:00 PM,8.333333333,25,0.094051258,25,12,3,8.333333333,1,212
14,3,19-03-2020,Haryana,Other,6:00 PM,0,0,0.133239282,0,17,0,0,0,213
0,14,19-03-2020,Karnataka,Other,6:00 PM,7.142857143,0,0.109726468,0,14,0,7.142857143,1,214
2,25,19-03-2020,Kerala,Other,6:00 PM,0,11.111111111,0.211615330,11.111111111,27,3,0,0,215
3,44,19-03-2020,Maharashtra,Maharashtra,6:00 PM,2.127659574,0,0.368367427,0,47,0,2.127659574,1,216
0,1,19-03-2020,Odisha,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,217
0,1,19-03-2020,Puducherry,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,218
0,2,19-03-2020,Punjab,Other,6:00 PM,50,0,0.015675210,0,2,0,50,1,219
2,5,19-03-2020,Rajasthan,Other,6:00 PM,0,42.857142857,0.054863234,42.857142857,7,3,0,0,220
0,2,19-03-2020,Tamil Nadu,Other,6:00 PM,0,50,0.015675210,50,2,1,0,0,221
2,4,19-03-2020,Telengana,Other,6:00 PM,0,16.666666667,0.047025629,16.666666667,6,1,0,0,222
0,1,19-03-2020,Chandigarh,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,223
0,4,19-03-2020,Jammu and Kashmir,Other,6:00 PM,0,0,0.031350419,0,4,0,0,0,224
0,8,19-03-2020,Ladakh,Other,6:00 PM,0,0,0.062700839,0,8,0,0,0,225
1,18,19-03-2020,Uttar Pradesh,Other,6:00 PM,0,47.368421053,0.148914492,47.368421053,19,9,0,0,226
0,1,19-03-2020,Uttarakhand,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,227
0,1,19-03-2020,West Bengal,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,228
0,3,20-03-2020,Andhra Pradesh,Other,6:00 PM,0,0,0.023512814,0,3,0,0,0,229
0,1,20-03-2020,Chhattisgarh,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,230
1,16,20-03-2020,Delhi,Other,6:00 PM,5.882352941,29.411764706,0.133239282,29.411764706,17,5,5.882352941,1,231
0,5,20-03-2020,Gujarat,Other,6:00 PM,0,0,0.039188024,0,5,0,0,0,232
14,3,20-03-2020,Haryana,Other,6:00 PM,0,0,0.133239282,0,17,0,0,0,233
0,15,20-03-2020,Karnataka,Other,6:00 PM,6.666666667,6.666666667,0.117564072,6.666666667,15,1,6.666666667,1,234
2,26,20-03-2020,Kerala,Other,6:00 PM,0,10.714285714,0.219452935,10.714285714,28,3,0,0,235
3,49,20-03-2020,Maharashtra,Maharashtra,6:00 PM,1.923076923,0,0.407555451,0,52,0,1.923076923,1,236
0,2,20-03-2020,Odisha,Other,6:00 PM,0,0,0.015675210,0,2,0,0,0,237
0,1,20-03-2020,Puducherry,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,238
0,2,20-03-2020,Punjab,Other,6:00 PM,50,0,0.015675210,0,2,0,50,1,239
2,15,20-03-2020,Rajasthan,Other,6:00 PM,0,17.647058824,0.133239282,17.647058824,17,3,0,0,240
0,3,20-03-2020,Tamil Nadu,Other,6:00 PM,0,33.333333333,0.023512814,33.333333333,3,1,0,0,241
9,8,20-03-2020,Telengana,Other,6:00 PM,0,5.882352941,0.133239282,5.882352941,17,1,0,0,242
0,1,20-03-2020,Chandigarh,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,243
0,4,20-03-2020,Jammu and Kashmir,Other,6:00 PM,0,0,0.031350419,0,4,0,0,0,244
0,10,20-03-2020,Ladakh,Other,6:00 PM,0,0,0.078376048,0,10,0,0,0,245
1,22,20-03-2020,Uttar Pradesh,Other,6:00 PM,0,39.130434783,0.180264911,39.130434783,23,9,0,0,246
0,3,20-03-2020,Uttarakhand,Other,6:00 PM,0,0,0.023512814,0,3,0,0,0,247
0,2,20-03-2020,West Bengal,Other,6:00 PM,0,0,0.015675210,0,2,0,0,0,248
0,3,21-03-2020,Andhra Pradesh,Other,6:00 PM,0,0,0.023512814,0,3,0,0,0,249
0,1,21-03-2020,Chhattisgarh,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,250
1,25,21-03-2020,Delhi,Other,6:00 PM,3.846153846,19.230769231,0.203777726,19.230769231,26,5,3.846153846,1,251
0,7,21-03-2020,Gujarat,Other,6:00 PM,0,0,0.054863234,0,7,0,0,0,252
14,3,21-03-2020,Haryana,Other,6:00 PM,0,0,0.133239282,0,17,0,0,0,253
0,2,21-03-2020,Himachal Pradesh,Other,6:00 PM,0,0,0.015675210,0,2,0,0,0,254
0,15,21-03-2020,Karnataka,Other,6:00 PM,6.666666667,6.666666667,0.117564072,6.666666667,15,1,6.666666667,1,255
7,33,21-03-2020,Kerala,Other,6:00 PM,0,7.5,0.313504193,7.5,40,3,0,0,256
0,4,21-03-2020,Madhya Pradesh,Other,6:00 PM,0,0,0.031350419,0,4,0,0,0,257
3,60,21-03-2020,Maharashtra,Maharashtra,6:00 PM,1.587301587,0,0.493769104,0,63,0,1.587301587,1,258
0,2,21-03-2020,Odisha,Other,6:00 PM,0,0,0.015675210,0,2,0,0,0,259
0,1,21-03-2020,Puducherry,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,260
0,13,21-03-2020,Punjab,Other,6:00 PM,7.692307692,0,0.101888863,0,13,0,7.692307692,1,261
2,15,21-03-2020,Rajasthan,Other,6:00 PM,0,17.647058824,0.133239282,17.647058824,17,3,0,0,262
